Name,Count,Rate
Доллар США,1 USD,87.2770
Евро,1 EUR,93.7347
Китайский юань,1 CNY,11.8105
Белорусский рубль,1 BYN,27.3125
Турецкая лира,1 TRY,2.6579
Дирхам ОАЭ,1 AED,23.7650
Японская йена,1 JPY,0.5472
Армянский драм,1 AMD,0.2248
Австралийский доллар,1 AUD,58.1614
Азербайджанский манат,1 AZN,51.3394
Болгарский лев,1 BGN,47.8815
Бразильский реал,1 BRL,16.1633
Канадский доллар,1 CAD,63.8784
Швейцарский франк,1 CHF,97.6799
Чешская крона,1 CZK,3.7678
Датская крона,1 DKK,12.5546
Египетский фунт,1 EGP,1.8040
Фунт стерлингов,1 GBP,110.7371
Грузинский лари,1 GEL,31.1359
Гонконгский доллар,1 HKD,11.1980
Венгерский форинт,1 HUF,0.2372
Индонезийская рупия,1 IDR,0.0053
Индийская рупия,1 INR,1.0461
Киргизский сом,1 KGS,1.0080
Южнокорейская вона,1 KRW,0.0629
Казахстанский тенге,1 KZT,0.1876
Молдавский лей,1 MDL,4.8792
Норвежская крона,1 NOK,8.2517
Новозеландский доллар,1 NZD,53.4310
Польский злотый,1 PLN,21.8329
Катарский риал,1 QAR,23.9772
Румынский лей,1 RON,18.8154
Сербский динар,1 RSD,0.8008
Шведская крона,1 SEK,8.3202
Сингапурский доллар,1 SGD,64.5540
Таиландский бат,1 THB,2.3840
Таджикский сомони,1 TJS,8.1830
Туркменский манат,1 TMT,24.9363
Украинская гривна,1 UAH,2.1523
Узбекский сум,1 UZS,0.0069
Вьетнамский донг,1 VND,0.0036
СДР (специальные права заимствования),1 XDR,114.9351
Южноафриканский рэнд,1 ZAR,4.8109
